Date and Time:                Wed Sep 2 17:10:58.227 2026
Software Version:             4.32.30065.0
Temperature (C):              -65
Model:                        DU8285_VP
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         10
Accumulate Cycle Time (secs): 10,007
Frequency (Hz):               0,099928
Number of Accumulations:      1
Readout Mode:                 Image
{left,right,bottom,top}:      1,1004,421,474
Horizontal Binning:           1
Vertical Binning:             54
Clockwise rotation:           false
Anti-Clockwise rotation:      false
Shutter Mode:                 OPEN during spectra series
TTL level:                    High
Time to open:                 0 ms
Time to close:                0 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertically flipped:           false
Vertical Shift Speed (usecs): 1,92
Pixel Readout Rate (MHz):     27
Baseline offset:              400
Number of prescans:           0
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM Gain level:                3
Serial Number:                X-2457
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   
Threshold:                    0
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                SR-1611
Wavelength (nm):              711,982
Grating Groove Density (l/mm):150
Grating Blaze:                800
Input Flipper Port:           Side
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On
Input Side Slit Width (um):   400



547,07196	53714	
549,45361	51162	
551,83447	51797	
554,216	50633	
556,5954	51012	
558,974	50753	
561,35193	50890	
563,73041	51306	
566,10681	50891	
568,48242	51013	
570,85736	51207	
573,23291	50870	
575,60632	51357	
577,97894	51191	
580,35089	51336	
582,72345	51520	
585,09387	51464	
587,46356	51383	
589,83246	50898	
592,20209	51340	
594,56952	51407	
596,93628	51488	
599,30225	51349	
601,66748	51715	
604,03339	51883	
606,39709	51635	
608,76013	51674	
611,12238	52069	
613,48529	51881	
615,84607	52444	
618,20612	51716	
620,56543	52309	
622,92542	52259	
625,28326	52562	
627,64038	51634	
629,9967	52610	
632,35236	51997	
634,70862	51830	
637,06274	51909	
639,4162	52629	
641,76886	52737	
644,12219	53141	
646,47339	52789	
648,82391	52764	
651,17365	52585	
653,52264	52905	
655,87231	52512	
658,21985	53125	
660,56665	52302	
662,91272	53409	
665,25806	52948	
667,60406	53209	
669,94794	52874	
672,29114	52842	
674,63354	53293	
676,97522	53080	
679,31757	53022	
681,65784	52944	
683,99731	53344	
686,33612	53006	
688,67407	53470	
691,01282	53752	
693,34937	52829	
695,68524	53288	
698,02039	52902	
700,3548	53002	
702,68988	53004	
705,02283	53391	
707,35504	52973	
709,68658	53188	
712,01733	52877	
714,34741	53540	
716,67804	53218	
719,00665	53375	
721,33453	52872	
723,66168	53352	
725,98816	53229	
728,31525	53307	
730,64026	53467	
732,96448	52731	
735,28802	53239	
737,6109	53290	
739,93298	54224	
742,25568	54125	
744,57635	53965	
746,8963	53787	
749,21552	53974	
751,534	53643	
753,85181	53919	
756,17023	53880	
758,48657	54170	
760,80225	53631	
763,11713	53895	
765,43134	54472	
767,74481	53743	
770,0589	54421	
772,37091	53541	
774,68225	53513	
776,99286	53191	
779,3028	53423	
781,61194	53636	
783,92041	53491	
786,22955	53440	
788,53656	53231	
790,8429	52733	
793,1485	53051	
795,45343	53386	
797,75763	53321	
800,0611	52464	
802,36517	53168	
804,66718	53109	
806,96851	52459	
809,26917	53127	
811,56909	52610	
813,86829	52491	
816,16675	52638	
818,46454	53054	
820,763	52228	
823,05939	52807	
825,35504	52897	
827,64996	53347	
829,94421	52694	
832,23773	52982	
834,53058	53700	
836,82269	53300	
839,11542	52956	
841,40613	53651	
843,69611	53827	
845,98541	54211	
848,27399	53777	
850,56189	53825	
852,84906	54427	
855,13556	54124	
857,42267	53989	
859,7077	53634	
861,99207	54246	
864,27576	53015	
866,55872	53572	
868,84094	53363	
871,12244	53704	
873,40326	53866	
875,68341	53243	
877,96289	54118	
880,24298	54104	
882,521	54075	
884,79834	54177	
887,07501	54559	
889,35095	54427	
891,62622	54706	
893,90076	54678	
896,17462	54745	
898,44775	54551	
900,72021	55307	
902,99194	54520	
905,26428	55466	
907,53467	54945	
909,80432	55752	
912,07324	55062	
914,34155	55624	
916,60913	55005	
918,87598	55113	
921,14215	54652	
923,40765	54855	
925,67242	56112	
927,93652	55569	
930,19995	55865	
932,46265	54925	
934,72601	55224	
936,98737	55305	
939,24799	54507	
941,50793	54913	
943,76709	54392	
946,02563	54322	
948,28351	54542	
950,54071	54013	
952,79718	53557	
955,05298	54414	
957,30804	54195	
959,5625	53801	
961,81622	54012	
964,06921	54311	
966,32159	55086	
968,57324	54733	
970,82422	54734	
973,07452	55145	
975,32544	55736	
977,57434	55976	
979,82257	56287	
982,07007	56350	
984,31696	56811	
986,56305	56658	
988,80847	57001	
991,05328	56985	
993,29736	56731	
995,54083	57403	
997,78357	57111	
1000,0256	57519	
1002,267	57994	
1004,5076	57483	
1006,7476	58079	
1008,9869	57551	
1011,2256	57626	
1013,4636	57586	
1015,7008	57854	
1017,9374	57904	
1020,1733	57642	
1022,4086	58449	
1024,6431	58016	
1026,877	58232	
1029,1101	57995	
1031,3427	58834	
1033,5745	59102	
1035,8057	59239	
1038,0361	59221	
1040,2659	58723	
1042,495	59791	
1044,7234	60406	
1046,9512	60402	
1049,1782	60862	
1051,4045	62080	
1053,6304	62284	
1055,8553	62668	
1058,0797	62832	
1060,3035	63882	
1062,5265	63184	
1064,7488	63462	
1066,9705	64050	
1069,1915	64001	
1071,4119	64106	
1073,6315	64656	
1075,8505	64810	
1078,0687	63615	
1080,2864	63121	
1082,5033	63523	
1084,7196	62306	
1086,9352	62923	
1089,1501	62780	
1091,3645	62739	
1093,578	62392	
1095,791	62782	
1098,0032	63119	
1100,2148	62451	
1102,4257	62551	
1104,6359	62837	
1106,8455	62993	
1109,0544	63154	
1111,2627	63010	
1113,4702	62935	
1115,6771	63033	
1117,8833	63488	
1120,0889	63878	
1122,2938	64149	
1124,498	63847	
1126,7003	64576	
1128,9032	63600	
1131,1055	64693	
1133,307	64677	
1135,5079	64986	
1137,7081	64703	
1139,9077	65456	
1142,1067	64965	
1144,3049	64899	
1146,5024	64240	
1148,6995	64748	
1150,8956	64720	
1153,0913	64656	
1155,2863	63786	
1157,4805	63849	
1159,6741	63994	
1161,8671	64088	
1164,058	63158	
1166,2496	64175	
1168,4406	64215	
1170,6309	64188	
1172,8206	62883	
1175,0095	63590	
1177,1979	64108	
1179,3855	63532	
1181,5725	63137	
1183,7589	64640	
1185,9445	64038	
1188,1295	64362	
1190,3138	65204	
1192,4963	64497	
1194,6794	64017	
1196,8618	64973	
1199,0435	65299	
1201,2246	65183	
1203,405	65099	
1205,5847	65543	
1207,7639	64969	
1209,9424	65802	
1212,1201	66000	
1214,296	66033	
1216,4725	66044	
1218,6483	66164	
1220,8236	66302	
1222,998	65613	
1225,172	65762	
1227,3452	66398	
1229,5178	66067	
1231,6897	66320	
1233,861	65600	
1236,0303	66887	
1238,2003	67106	
1240,3696	66522	
1242,5383	65876	
1244,7063	66232	
1246,8737	66229	
1249,0404	67126	
1251,2065	66413	
1253,3706	66699	
1255,5354	66277	
1257,6995	66291	
1259,863	66279	
1262,0259	66123	
1264,188	66700	
1266,3495	66323	
1268,5092	65847	
1270,6694	65585	
1272,829	65810	
1274,9879	65548	
1277,1462	66042	
1279,3038	66106	
1281,4609	66513	
1283,616	66001	
1285,7717	66922	
1287,9268	67818	
1290,0812	67762	
1292,235	68379	
1294,3881	68213	
1296,5406	67891	
1298,6912	68059	
1300,8424	68462	
1302,9929	68522	
1305,1429	69017	
1307,2921	69772	
1309,4408	68414	
1311,5875	69068	
1313,7349	69392	
1315,8816	68976	
1318,0277	69473	
1320,1731	69233	
1322,318	69291	
1324,4608	69295	
1326,6044	69756	
1328,7472	69640	
1330,8895	69770	
1333,0311	69483	
1335,1708	70829	
1337,311	70581	
1339,4508	71162	
1341,5898	71360	
1343,7283	71708	
1345,8647	71564	
1348,0018	71694	
1350,1384	72156	
1352,2743	71802	
1354,4095	71999	
1356,5441	72052	
1358,6768	71198	
1360,8101	71407	
1362,9429	71303	
1365,0748	71746	
1367,2051	71752	
1369,3358	71532	
1371,4659	71333	
1373,5955	71268	
1375,7244	71895	
1377,8514	71311	
1379,979	70886	
1382,106	71335	
1384,2324	71170	
1386,3582	71205	
1388,4819	70816	
1390,6064	70987	
1392,7302	71324	
1394,8535	71604	
1396,9749	71580	
1399,0968	72578	
1401,218	71628	
1403,3387	71856	
1405,4576	71929	
1407,577	71921	
1409,6958	72217	
1411,8141	72216	
1413,9315	71997	
1416,0472	72854	
1418,1636	72024	
1420,2792	72743	
1422,3943	72775	
1424,5074	73134	
1426,6212	73659	
1428,7344	73717	
1430,8469	74228	
1432,9575	74109	
1435,0688	73489	
1437,1794	74070	
1439,2896	74102	
1441,3977	74194	
1443,5065	73968	
1445,6146	74780	
1447,7209	74081	
1449,8279	74778	
1451,9341	74166	
1454,0398	74354	
1456,1436	75102	
1458,248	75013	
1460,3518	74329	
1462,455	74822	
1464,5563	74713	
1466,6582	75447	
1468,7596	74814	
1470,859	75194	
1472,9591	75270	
1475,0586	75455	
1477,1575	75741	
1479,2544	76499	
1481,3521	76029	
1483,449	77083	
1485,5442	75595	
1487,64	76948	
1489,7351	76507	
1491,8284	77634	
1493,9222	77526	
1496,0155	77485	
1498,1082	76748	
1500,199	76959	
1502,2904	77407	
1504,3812	77162	
1506,4702	77235	
1508,5598	77718	
1510,6488	77161	
1512,7358	78803	
1514,8236	77902	
1516,9108	78067	
1518,996	78690	
1521,0819	78571	
1523,1671	78472	
1525,2506	78123	
1527,3346	78015	
1529,4181	78518	
1531,4996	77661	
1533,5819	78629	
1535,6635	77805	
1537,7434	78464	
1539,8237	78273	
1541,9034	78601	
1543,9814	78669	
1546,0599	78928	
1548,1379	79451	
1550,214	80054	
1552,2908	79945	
1554,3668	80747	
1556,4412	80911	
1558,516	81504	
1560,5903	81280	
1562,6627	81618	
1564,7358	81673	
1566,8083	83595	
1568,8789	82783	
1570,9502	82503	
1573,0208	82903	
1575,0896	83482	
1577,1591	83618	
1579,2266	84680	
1581,2948	84253	
1583,3624	84922	
1585,4283	85318	
1587,4948	85512	
1589,5605	85312	
1591,6244	85534	
1593,6891	85905	
1595,7518	85992	
1597,8152	86262	
1599,8779	86755	
1601,9388	85618	
1604,0005	86902	
1606,0602	86807	
1608,1205	86698	
1610,1803	85867	
1612,2382	86771	
1614,2968	86517	
1616,3536	86488	
1618,4109	87133	
1620,4677	86649	
1622,5226	86599	
1624,5782	87351	
1626,632	87542	
1628,6863	87626	
1630,74	87898	
1632,792	89749	
1634,8445	89756	
1636,8953	89687	
1638,9465	90130	
1640,9973	90448	
1643,0463	90368	
1645,0958	91097	
1647,1436	90878	
1649,1919	91924	
1651,2386	92559	
1653,2858	92587	
1655,3323	92977	
1657,3771	93450	
1659,4225	93815	
1661,4661	93813	
1663,5103	94373	
1665,5526	94744	
1667,5956	94241	
1669,6381	93730	
1671,6786	93469	
1673,7198	94050	
1675,7593	94965	
1677,7993	93616	
1679,8375	92411	
1681,8763	93098	
1683,9135	92683	
1685,9512	91878	
1687,9871	91341	
1690,0234	90748	
1692,0593	90285	
1694,0935	90518	
1696,1282	89620	
1698,161	89502	
1700,1946	89783	
1702,2263	90084	
1704,2587	88855	
1706,2892	88631	
1708,3203	88291	
1710,3499	87303	
1712,3798	88047	
1714,408	87013	
1716,4368	86118	
1718,4637	85688	
1720,4913	85166	
1722,5172	84529	
1724,5437	84869	
1726,5684	83736	
1728,5936	84087	
1730,6171	84209	
1732,6412	83585	
1734,6636	82958	
1736,6865	82695	
1738,7076	82860	
1740,7294	81770	
1742,7494	81774	
1744,77	81489	
1746,7888	81054	
1748,8082	81259	
1750,8258	80380	
1752,8441	79976	
1754,8605	80034	
1756,8776	79139	
1758,8931	79950	
1760,9089	79350	
1762,9231	79296	
1764,9379	78092	
1766,9508	78513	
1768,9644	78449	
1770,9762	78409	
1772,9886	78694	
1774,9993	78042	
1777,0093	78568	
1779,02	78778	
1781,0291	78550	
1783,0386	77955	
1785,0463	78881	
1787,0546	77805	
1789,0612	78276	
1791,0684	78448	
1793,0739	78087	
1795,0798	78337	
1797,0841	77624	
1799,0878	77804	
1801,0922	77711	
1803,0947	78094	
1805,0979	76922	
1807,0994	77272	
1809,1013	77522	
1811,1016	77630	
1813,1012	77787	
1815,1014	77508	
1817,1	77505	
1819,0991	77620	
1821,0966	76687	
1823,0944	77368	
1825,0907	77459	
1827,0863	77367	
1829,0825	77493	
1831,077	78222	
1833,0721	77669	
1835,0654	77104	
1837,0594	78017	
1839,0516	77337	
1841,0433	78206	
1843,0355	77179	
1845,026	77598	
1847,0171	77345	
1849,0063	77434	
1850,9951	77681	
